INFO core.basesyntax.Main:27 Task duration was 323 ms, execution finished at 18:21:25:343
INFO core.basesyntax.Main:27 Task duration was 615 ms, execution finished at 18:21:25:343
INFO core.basesyntax.Main:27 Task duration was 358 ms, execution finished at 18:21:25:343
INFO core.basesyntax.Main:27 Task duration was 959 ms, execution finished at 18:21:25:343
INFO core.basesyntax.Main:27 Task duration was 159 ms, execution finished at 18:21:25:343
INFO core.basesyntax.Main:27 Task duration was 167 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 739 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 139 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 357 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 764 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 760 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 623 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 516 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 406 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 564 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 690 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 35 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 867 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 904 ms, execution finished at 18:21:25:351
INFO core.basesyntax.Main:27 Task duration was 982 ms, execution finished at 18:21:25:351
